,PairId,QASpan,Q_id,Q_user,Q_#A,A_id,A_user,#Title,#QWords,#QSentence.,"#QSentence,",#QSentence;,#AWords,#ASentence.,"#ASentence,",#ASentence;,Credible
45,45,20145,Q268_R14,U2,10,Q268_R14_C6,U1831,5,77,7,1,1,77,3,1,1,1
46,46,20917,Q268_R14,U2,10,Q268_R14_C7,U273,5,77,7,1,1,77,2,1,1,0
47,47,21361,Q268_R14,U2,10,Q268_R14_C8,U2,5,77,7,1,1,77,1,1,1,0
48,48,24506,Q268_R14,U2,10,Q268_R14_C9,U1832,5,77,7,1,1,77,3,1,2,1
49,49,28866,Q268_R14,U2,10,Q268_R14_C10,U2,5,77,7,1,1,77,8,1,1,1
50,50,15571,Q268_R16,U5151,10,Q268_R16_C1,U65,2,25,1,1,3,25,7,1,1,0
51,51,20625,Q268_R16,U5151,10,Q268_R16_C2,U956,2,25,1,1,3,25,2,1,1,0
52,52,29395,Q268_R16,U5151,10,Q268_R16_C3,U5152,2,25,1,1,3,25,6,1,1,0
53,53,119473,Q268_R16,U5151,10,Q268_R16_C4,U5153,2,25,1,1,3,25,10,1,8,1
54,54,119921,Q268_R16,U5151,10,Q268_R16_C5,U492,2,25,1,1,3,25,10,1,1,1
55,55,187878,Q268_R16,U5151,10,Q268_R16_C6,U5151,2,25,1,1,3,25,5,1,2,0
56,56,188369,Q268_R16,U5151,10,Q268_R16_C7,U5151,2,25,1,1,3,25,3,1,5,0
57,57,188683,Q268_R16,U5151,10,Q268_R16_C8,U5151,2,25,1,1,3,25,7,1,3,0
58,58,189812,Q268_R16,U5151,10,Q268_R16_C9,U5151,2,25,1,1,3,25,1,1,2,0
59,59,210524,Q268_R16,U5151,10,Q268_R16_C10,U5153,2,25,1,1,3,25,9,1,5,1
60,60,3531,Q268_R19,U4945,10,Q268_R19_C1,U13,4,24,1,1,1,24,2,1,4,1
61,61,3600,Q268_R19,U4945,10,Q268_R19_C2,U210,4,24,1,1,1,24,2,1,1,0
62,62,4958,Q268_R19,U4945,10,Q268_R19_C3,U643,4,24,1,1,1,24,6,1,2,1
63,63,5265,Q268_R19,U4945,10,Q268_R19_C4,U1377,4,24,1,1,1,24,3,1,4,0
64,64,6339,Q268_R19,U4945,10,Q268_R19_C5,U643,4,24,1,1,1,24,3,1,1,1
65,65,6573,Q268_R19,U4945,10,Q268_R19_C6,U643,4,24,1,1,1,24,1,1,1,0
66,66,6886,Q268_R19,U4945,10,Q268_R19_C7,U2,4,24,1,1,1,24,2,1,2,0
67,67,6915,Q268_R19,U4945,10,Q268_R19_C8,U210,4,24,1,1,1,24,6,1,1,0
68,68,12710,Q268_R19,U4945,10,Q268_R19_C9,U4946,4,24,1,1,1,24,5,1,1,0
69,69,12843,Q268_R19,U4945,10,Q268_R19_C10,U210,4,24,1,1,1,24,4,1,1,1
70,70,69,Q268_R27,U267,10,Q268_R27_C1,U268,5,68,1,1,7,68,3,1,1,0
71,71,125,Q268_R27,U267,10,Q268_R27_C2,U267,5,68,1,1,7,68,1,1,2,0
72,72,306,Q268_R27,U267,10,Q268_R27_C3,U268,5,68,1,1,7,68,2,1,2,0
73,73,502,Q268_R27,U267,10,Q268_R27_C4,U267,5,68,1,1,7,68,1,1,2,0
74,74,612,Q268_R27,U267,10,Q268_R27_C5,U268,5,68,1,1,7,68,3,1,1,0
75,75,758,Q268_R27,U267,10,Q268_R27_C6,U267,5,68,1,1,7,68,5,1,4,0
76,76,792,Q268_R27,U267,10,Q268_R27_C7,U268,5,68,1,1,7,68,3,1,1,0
77,77,1562,Q268_R27,U267,10,Q268_R27_C8,U65,5,68,1,1,7,68,4,1,8,1
78,78,1811,Q268_R27,U267,10,Q268_R27_C9,U65,5,68,1,1,7,68,5,1,1,0
79,79,2006,Q268_R27,U267,10,Q268_R27_C10,U268,5,68,1,1,7,68,4,1,3,0
80,80,222,Q268_R29,U2,10,Q268_R29_C1,U485,4,36,5,1,2,36,8,1,1,1
81,81,443,Q268_R29,U2,10,Q268_R29_C2,U2,4,36,5,1,2,36,3,1,2,0
82,82,645,Q268_R29,U2,10,Q268_R29_C3,U485,4,36,5,1,2,36,12,1,1,0
83,83,1016,Q268_R29,U2,10,Q268_R29_C4,U13,4,36,5,1,2,36,5,1,4,0
84,84,1190,Q268_R29,U2,10,Q268_R29_C5,U2,4,36,5,1,2,36,2,1,3,0
85,85,1866,Q268_R29,U2,10,Q268_R29_C6,U4951,4,36,5,1,2,36,7,1,6,1
86,86,3319,Q268_R29,U2,10,Q268_R29_C7,U2166,4,36,5,1,2,36,1,1,1,1
87,87,8116,Q268_R29,U2,10,Q268_R29_C8,U2,4,36,5,1,2,36,3,1,2,0
88,88,10584,Q268_R29,U2,10,Q268_R29_C9,U2163,4,36,5,1,2,36,5,1,4,0
89,89,16908,Q268_R29,U2,10,Q268_R29_C10,U2466,4,36,5,1,2,36,6,1,16,1
90,90,2021,Q268_R31,U1111,10,Q268_R31_C1,U4904,12,1,1,1,1,1,1,1,1,1
91,91,13603,Q268_R31,U1111,10,Q268_R31_C2,U3927,12,1,1,1,1,1,5,1,1,1
92,92,25570,Q268_R31,U1111,10,Q268_R31_C3,U4905,12,1,1,1,1,1,2,1,1,1
93,93,29468,Q268_R31,U1111,10,Q268_R31_C4,U4906,12,1,1,1,1,1,1,1,1,1
94,94,29479,Q268_R31,U1111,10,Q268_R31_C5,U4906,12,1,1,1,1,1,1,1,1,1
95,95,29486,Q268_R31,U1111,10,Q268_R31_C6,U4906,12,1,1,1,1,1,1,1,1,1
96,96,31105,Q268_R31,U1111,10,Q268_R31_C7,U2,12,1,1,1,1,1,11,1,2,1
97,97,33133,Q268_R31,U1111,10,Q268_R31_C8,U2,12,1,1,1,1,1,1,1,1,1
98,98,42851,Q268_R31,U1111,10,Q268_R31_C9,U4907,12,1,1,1,1,1,1,1,1,1
99,99,51503,Q268_R31,U1111,10,Q268_R31_C10,U4908,12,1,1,1,1,1,1,1,1,1
100,100,8092,Q269_R3,U5154,10,Q269_R3_C1,U2984,11,42,4,1,1,42,10,1,1,0
101,101,26636,Q269_R3,U5154,10,Q269_R3_C2,U431,11,42,4,1,1,42,11,1,5,1
102,102,36224,Q269_R3,U5154,10,Q269_R3_C3,U5154,11,42,4,1,1,42,1,1,1,0
103,103,2607878,Q269_R3,U5154,10,Q269_R3_C4,U5155,11,42,4,1,1,42,18,1,2,1
104,104,3010974,Q269_R3,U5154,10,Q269_R3_C5,U1072,11,42,4,1,1,42,7,1,1,1
105,105,58551355,Q269_R3,U5154,10,Q269_R3_C6,U5156,11,42,4,1,1,42,1,1,3,0
106,106,58553743,Q269_R3,U5154,10,Q269_R3_C7,U506,11,42,4,1,1,42,1,1,1,1
107,107,58554547,Q269_R3,U5154,10,Q269_R3_C8,U2,11,42,4,1,1,42,4,1,3,0
108,108,58554639,Q269_R3,U5154,10,Q269_R3_C9,U2232,11,42,4,1,1,42,9,1,1,0
109,109,58555126,Q269_R3,U5154,10,Q269_R3_C10,U60,11,42,4,1,1,42,3,1,2,0
110,110,1017,Q269_R7,U5157,10,Q269_R7_C1,U51,9,31,1,1,1,31,3,1,1,1
111,111,1329,Q269_R7,U5157,10,Q269_R7_C2,U348,9,31,1,1,1,31,4,1,2,1
112,112,2489,Q269_R7,U5157,10,Q269_R7_C3,U210,9,31,1,1,1,31,2,1,1,1
113,113,2576,Q269_R7,U5157,10,Q269_R7_C4,U60,9,31,1,1,1,31,1,1,1,1
114,114,3642,Q269_R7,U5157,10,Q269_R7_C5,U812,9,31,1,1,1,31,4,1,1,1
115,115,4252,Q269_R7,U5157,10,Q269_R7_C6,U60,9,31,1,1,1,31,8,1,1,0
116,116,4595,Q269_R7,U5157,10,Q269_R7_C7,U2,9,31,1,1,1,31,4,1,2,0
117,117,5535,Q269_R7,U5157,10,Q269_R7_C8,U2,9,31,1,1,1,31,1,1,1,0
118,118,7680,Q269_R7,U5157,10,Q269_R7_C9,U3511,9,31,1,1,1,31,3,1,1,0
119,119,7788,Q269_R7,U5157,10,Q269_R7_C10,U3511,9,31,1,1,1,31,3,1,1,0
120,120,1454,Q269_R10,U3883,10,Q269_R10_C1,U309,8,36,1,1,1,36,2,1,3,1
121,121,1650,Q269_R10,U3883,10,Q269_R10_C2,U3883,8,36,1,1,1,36,1,1,1,0
122,122,1975,Q269_R10,U3883,10,Q269_R10_C3,U373,8,36,1,1,1,36,2,1,1,0
123,123,3068,Q269_R10,U3883,10,Q269_R10_C4,U3883,8,36,1,1,1,36,1,1,1,0
124,124,3909,Q269_R10,U3883,10,Q269_R10_C5,U51,8,36,1,1,1,36,1,1,3,0
125,125,4667,Q269_R10,U3883,10,Q269_R10_C6,U5158,8,36,1,1,1,36,4,1,1,0
126,126,6095,Q269_R10,U3883,10,Q269_R10_C7,U3883,8,36,1,1,1,36,1,1,1,0
127,127,6289,Q269_R10,U3883,10,Q269_R10_C8,U5159,8,36,1,1,1,36,1,1,1,1
128,128,6343,Q269_R10,U3883,10,Q269_R10_C9,U3883,8,36,1,1,1,36,1,1,1,0
129,129,7850,Q269_R10,U3883,10,Q269_R10_C10,U5160,8,36,1,1,1,36,1,1,1,0
130,130,161,Q269_R20,U3931,10,Q269_R20_C1,U60,4,23,1,1,2,23,2,1,1,1
131,131,247,Q269_R20,U3931,10,Q269_R20_C2,U1232,4,23,1,1,2,23,4,1,1,1
132,132,308,Q269_R20,U3931,10,Q269_R20_C3,U210,4,23,1,1,2,23,2,1,1,1
133,133,616,Q269_R20,U3931,10,Q269_R20_C4,U3931,4,23,1,1,2,23,3,1,6,1
134,134,692,Q269_R20,U3931,10,Q269_R20_C5,U492,4,23,1,1,2,23,2,1,3,1
135,135,955,Q269_R20,U3931,10,Q269_R20_C6,U3931,4,23,1,1,2,23,1,1,3,1
136,136,1062,Q269_R20,U3931,10,Q269_R20_C7,U1232,4,23,1,1,2,23,1,1,1,1
137,137,1103,Q269_R20,U3931,10,Q269_R20_C8,U492,4,23,1,1,2,23,4,1,1,1
138,138,1374,Q269_R20,U3931,10,Q269_R20_C9,U3931,4,23,1,1,2,23,1,1,1,0
139,139,2104,Q269_R20,U3931,10,Q269_R20_C10,U899,4,23,1,1,2,23,5,1,1,1
140,140,140,Q269_R26,U5161,10,Q269_R26_C1,U535,16,14,1,1,1,14,1,1,4,1
141,141,307,Q269_R26,U5161,10,Q269_R26_C2,U1793,16,14,1,1,1,14,4,1,2,0
142,142,2288,Q269_R26,U5161,10,Q269_R26_C3,U223,16,14,1,1,1,14,1,1,1,1
143,143,2317,Q269_R26,U5161,10,Q269_R26_C4,U2,16,14,1,1,1,14,6,1,2,1
144,144,2468,Q269_R26,U5161,10,Q269_R26_C5,U5162,16,14,1,1,1,14,6,1,1,1
145,145,3902,Q269_R26,U5161,10,Q269_R26_C6,U236,16,14,1,1,1,14,2,1,3,1
146,146,6838,Q269_R26,U5161,10,Q269_R26_C7,U2594,16,14,1,1,1,14,3,1,4,1
147,147,23381,Q269_R26,U5161,10,Q269_R26_C8,U477,16,14,1,1,1,14,1,1,1,0
148,148,27918,Q269_R26,U5161,10,Q269_R26_C9,U302,16,14,1,1,1,14,5,1,1,0
149,149,90695,Q269_R26,U5161,10,Q269_R26_C10,U5161,16,14,1,1,1,14,3,1,2,0
150,150,212,Q269_R27,U2,10,Q269_R27_C1,U2,5,22,2,1,1,22,3,1,1,0
151,151,829,Q269_R27,U2,10,Q269_R27_C2,U2,5,22,2,1,1,22,5,1,1,0
152,152,2166,Q269_R27,U2,10,Q269_R27_C3,U2,5,22,2,1,1,22,3,1,1,0
153,153,2738,Q269_R27,U2,10,Q269_R27_C4,U3611,5,22,2,1,1,22,1,1,1,0
154,154,17976,Q269_R27,U2,10,Q269_R27_C5,U2,5,22,2,1,1,22,7,1,1,0
155,155,530932,Q269_R27,U2,10,Q269_R27_C6,U3002,5,22,2,1,1,22,3,1,1,1
156,156,637766,Q269_R27,U2,10,Q269_R27_C7,U5163,5,22,2,1,1,22,5,1,3,0
157,157,893718,Q269_R27,U2,10,Q269_R27_C8,U5164,5,22,2,1,1,22,6,1,5,1
158,158,940611,Q269_R27,U2,10,Q269_R27_C9,U1074,5,22,2,1,1,22,9,1,8,1
159,159,38517848,Q269_R27,U2,10,Q269_R27_C10,U5165,5,22,2,1,1,22,3,1,3,0
160,160,2927,Q269_R29,U2,10,Q269_R29_C1,U1828,5,77,7,1,1,77,1,1,1,1
161,161,10244,Q269_R29,U2,10,Q269_R29_C2,U1829,5,77,7,1,1,77,2,1,1,1
162,162,13826,Q269_R29,U2,10,Q269_R29_C3,U1830,5,77,7,1,1,77,1,1,1,1
163,163,17538,Q269_R29,U2,10,Q269_R29_C4,U273,5,77,7,1,1,77,3,1,1,1
164,164,19066,Q269_R29,U2,10,Q269_R29_C5,U2,5,77,7,1,1,77,1,1,1,0
165,165,20145,Q269_R29,U2,10,Q269_R29_C6,U1831,5,77,7,1,1,77,3,1,1,1
166,166,20917,Q269_R29,U2,10,Q269_R29_C7,U273,5,77,7,1,1,77,2,1,1,0
167,167,21361,Q269_R29,U2,10,Q269_R29_C8,U2,5,77,7,1,1,77,1,1,1,0
168,168,24506,Q269_R29,U2,10,Q269_R29_C9,U1832,5,77,7,1,1,77,3,1,2,1
169,169,28866,Q269_R29,U2,10,Q269_R29_C10,U2,5,77,7,1,1,77,8,1,1,1
170,170,173,Q269_R38,U13,10,Q269_R38_C1,U14,4,36,7,1,5,36,3,1,2,1
171,171,337,Q269_R38,U13,10,Q269_R38_C2,U15,4,36,7,1,5,36,1,1,1,0
172,172,417,Q269_R38,U13,10,Q269_R38_C3,U16,4,36,7,1,5,36,4,1,2,0
173,173,465,Q269_R38,U13,10,Q269_R38_C4,U14,4,36,7,1,5,36,5,1,3,0
174,174,553,Q269_R38,U13,10,Q269_R38_C5,U14,4,36,7,1,5,36,6,1,3,0
175,175,621,Q269_R38,U13,10,Q269_R38_C6,U15,4,36,7,1,5,36,8,1,1,0
176,176,683,Q269_R38,U13,10,Q269_R38_C7,U14,4,36,7,1,5,36,4,1,3,0
177,177,881,Q269_R38,U13,10,Q269_R38_C8,U13,4,36,7,1,5,36,5,1,4,0
178,178,1062,Q269_R38,U13,10,Q269_R38_C9,U17,4,36,7,1,5,36,1,1,1,0
179,179,1097,Q269_R38,U13,10,Q269_R38_C10,U14,4,36,7,1,5,36,4,1,2,0
180,180,467,Q269_R40,U2,10,Q269_R40_C1,U2788,6,55,4,1,1,55,5,1,2,1
181,181,1128,Q269_R40,U2,10,Q269_R40_C2,U1095,6,55,4,1,1,55,3,1,1,1
182,182,1598,Q269_R40,U2,10,Q269_R40_C3,U61,6,55,4,1,1,55,5,1,1,1
183,183,2314,Q269_R40,U2,10,Q269_R40_C4,U2,6,55,4,1,1,55,1,1,1,0
184,184,3255,Q269_R40,U2,10,Q269_R40_C5,U2,6,55,4,1,1,55,4,1,3,0
185,185,3712,Q269_R40,U2,10,Q269_R40_C6,U2,6,55,4,1,1,55,12,1,2,0
186,186,3804,Q269_R40,U2,10,Q269_R40_C7,U2,6,55,4,1,1,55,1,1,1,0
187,187,6283,Q269_R40,U2,10,Q269_R40_C8,U2789,6,55,4,1,1,55,20,1,11,0
188,188,9273,Q269_R40,U2,10,Q269_R40_C9,U60,6,55,4,1,1,55,1,1,1,0
189,189,9447,Q269_R40,U2,10,Q269_R40_C10,U2790,6,55,4,1,1,55,2,1,2,0
190,190,935,Q269_R43,U1415,10,Q269_R43_C1,U51,4,28,3,1,4,28,2,1,2,0
191,191,1179,Q269_R43,U1415,10,Q269_R43_C2,U601,4,28,3,1,4,28,2,1,1,0
192,192,1197,Q269_R43,U1415,10,Q269_R43_C3,U181,4,28,3,1,4,28,2,1,1,0
193,193,1213,Q269_R43,U1415,10,Q269_R43_C4,U181,4,28,3,1,4,28,20,1,7,1
194,194,1405,Q269_R43,U1415,10,Q269_R43_C5,U1416,4,28,3,1,4,28,15,1,2,0
195,195,1484,Q269_R43,U1415,10,Q269_R43_C6,U181,4,28,3,1,4,28,3,1,2,0
196,196,1930,Q269_R43,U1415,10,Q269_R43_C7,U2,4,28,3,1,4,28,1,1,1,0
197,197,4514,Q269_R43,U1415,10,Q269_R43_C8,U1417,4,28,3,1,4,28,1,1,1,0
198,198,4706,Q269_R43,U1415,10,Q269_R43_C9,U1418,4,28,3,1,4,28,10,1,2,0
199,199,6169,Q269_R43,U1415,10,Q269_R43_C10,U789,4,28,3,1,4,28,4,1,1,0
200,200,21111,Q270_R37,U5166,10,Q270_R37_C1,U5167,5,53,9,1,5,53,4,1,2,1
201,201,21228,Q270_R37,U5166,10,Q270_R37_C2,U28,5,53,9,1,5,53,5,1,1,1
202,202,25360,Q270_R37,U5166,10,Q270_R37_C3,U5168,5,53,9,1,5,53,3,1,1,0
203,203,26955,Q270_R37,U5166,10,Q270_R37_C4,U1482,5,53,9,1,5,53,2,1,5,1
204,204,27442,Q270_R37,U5166,10,Q270_R37_C5,U5169,5,53,9,1,5,53,1,1,1,1
205,205,27956,Q270_R37,U5166,10,Q270_R37_C6,U2,5,53,9,1,5,53,1,1,2,0
206,206,28264,Q270_R37,U5166,10,Q270_R37_C7,U30,5,53,9,1,5,53,14,1,2,1
207,207,30228,Q270_R37,U5166,10,Q270_R37_C8,U5170,5,53,9,1,5,53,2,1,1,1
208,208,133796,Q270_R37,U5166,10,Q270_R37_C9,U5166,5,53,9,1,5,53,12,1,8,0
209,209,138395,Q270_R37,U5166,10,Q270_R37_C10,U6,5,53,9,1,5,53,2,1,1,1
210,210,426,Q270_R47,U804,10,Q270_R47_C1,U2,4,33,2,1,1,33,1,1,1,0
211,211,2019,Q270_R47,U804,10,Q270_R47_C2,U804,4,33,2,1,1,33,6,1,1,0
212,212,3875,Q270_R47,U804,10,Q270_R47_C3,U2911,4,33,2,1,1,33,4,1,1,1
213,213,4521,Q270_R47,U804,10,Q270_R47_C4,U804,4,33,2,1,1,33,1,1,1,0
214,214,9910,Q270_R47,U804,10,Q270_R47_C5,U955,4,33,2,1,1,33,1,1,1,0
215,215,21478,Q270_R47,U804,10,Q270_R47_C6,U5171,4,33,2,1,1,33,1,1,2,0
216,216,25465,Q270_R47,U804,10,Q270_R47_C7,U65,4,33,2,1,1,33,3,1,1,0
217,217,30223,Q270_R47,U804,10,Q270_R47_C8,U804,4,33,2,1,1,33,2,1,1,0
218,218,31230,Q270_R47,U804,10,Q270_R47_C9,U134,4,33,2,1,1,33,7,1,7,0
219,219,34315,Q270_R47,U804,10,Q270_R47_C10,U1942,4,33,2,1,1,33,4,1,1,0
220,220,1128,Q270_R51,U3816,10,Q270_R51_C1,U3104,2,16,1,1,1,16,2,1,1,0
221,221,1149,Q270_R51,U3816,10,Q270_R51_C2,U114,2,16,1,1,1,16,7,1,3,1
222,222,1429,Q270_R51,U3816,10,Q270_R51_C3,U5172,2,16,1,1,1,16,5,1,3,1
223,223,1804,Q270_R51,U3816,10,Q270_R51_C4,U356,2,16,1,1,1,16,8,1,2,1
224,224,1911,Q270_R51,U3816,10,Q270_R51_C5,U2512,2,16,1,1,1,16,1,1,5,1
225,225,2067,Q270_R51,U3816,10,Q270_R51_C6,U297,2,16,1,1,1,16,1,1,1,1
226,226,2162,Q270_R51,U3816,10,Q270_R51_C7,U3816,2,16,1,1,1,16,4,1,1,0
227,227,2268,Q270_R51,U3816,10,Q270_R51_C8,U2146,2,16,1,1,1,16,2,1,2,0
228,228,2418,Q270_R51,U3816,10,Q270_R51_C9,U356,2,16,1,1,1,16,5,1,2,0
229,229,2555,Q270_R51,U3816,10,Q270_R51_C10,U2146,2,16,1,1,1,16,3,1,1,0
230,230,2683,Q270_R54,U463,10,Q270_R54_C1,U188,4,18,1,1,1,18,7,1,1,1
231,231,2854,Q270_R54,U463,10,Q270_R54_C2,U210,4,18,1,1,1,18,2,1,1,1
232,232,2892,Q270_R54,U463,10,Q270_R54_C3,U463,4,18,1,1,1,18,4,1,3,0
233,233,2957,Q270_R54,U463,10,Q270_R54_C4,U210,4,18,1,1,1,18,2,1,1,1
234,234,2980,Q270_R54,U463,10,Q270_R54_C5,U463,4,18,1,1,1,18,5,1,3,0
235,235,3098,Q270_R54,U463,10,Q270_R54_C6,U210,4,18,1,1,1,18,2,1,1,0
236,236,9347,Q270_R54,U463,10,Q270_R54_C7,U428,4,18,1,1,1,18,4,1,1,0
237,237,10292,Q270_R54,U463,10,Q270_R54_C8,U202,4,18,1,1,1,18,4,1,1,0
238,238,44856,Q270_R54,U463,10,Q270_R54_C9,U13,4,18,1,1,1,18,2,1,3,0
239,239,45142,Q270_R54,U463,10,Q270_R54_C10,U875,4,18,1,1,1,18,8,1,5,1
240,240,650,Q270_R58,U5173,10,Q270_R58_C1,U3941,6,17,1,1,1,17,5,1,1,0
241,241,1414,Q270_R58,U5173,10,Q270_R58_C2,U2672,6,17,1,1,1,17,1,1,1,1
242,242,1706,Q270_R58,U5173,10,Q270_R58_C3,U2,6,17,1,1,1,17,2,1,1,1
243,243,2251,Q270_R58,U5173,10,Q270_R58_C4,U535,6,17,1,1,1,17,4,1,2,1
244,244,6430,Q270_R58,U5173,10,Q270_R58_C5,U5174,6,17,1,1,1,17,1,1,1,0
245,245,7012,Q270_R58,U5173,10,Q270_R58_C6,U2,6,17,1,1,1,17,1,1,1,0
246,246,9230,Q270_R58,U5173,10,Q270_R58_C7,U2,6,17,1,1,1,17,7,1,1,0
247,247,11903,Q270_R58,U5173,10,Q270_R58_C8,U5175,6,17,1,1,1,17,6,1,1,1
248,248,13308,Q270_R58,U5173,10,Q270_R58_C9,U6,6,17,1,1,1,17,2,1,1,1
249,249,26867,Q270_R58,U5173,10,Q270_R58_C10,U5173,6,17,1,1,1,17,1,1,1,0
250,250,212,Q270_R62,U2,10,Q270_R62_C1,U2,5,22,2,1,1,22,3,1,1,0
251,251,829,Q270_R62,U2,10,Q270_R62_C2,U2,5,22,2,1,1,22,5,1,1,0
252,252,2166,Q270_R62,U2,10,Q270_R62_C3,U2,5,22,2,1,1,22,3,1,1,0
253,253,2738,Q270_R62,U2,10,Q270_R62_C4,U3611,5,22,2,1,1,22,1,1,1,0
254,254,17976,Q270_R62,U2,10,Q270_R62_C5,U2,5,22,2,1,1,22,7,1,1,0
255,255,530932,Q270_R62,U2,10,Q270_R62_C6,U3002,5,22,2,1,1,22,3,1,1,1
256,256,637766,Q270_R62,U2,10,Q270_R62_C7,U5163,5,22,2,1,1,22,5,1,3,0
257,257,893718,Q270_R62,U2,10,Q270_R62_C8,U5164,5,22,2,1,1,22,6,1,5,1
258,258,940611,Q270_R62,U2,10,Q270_R62_C9,U1074,5,22,2,1,1,22,9,1,8,1
259,259,38517848,Q270_R62,U2,10,Q270_R62_C10,U5165,5,22,2,1,1,22,3,1,3,0
